Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,200.49,201.03,198.59,201.02,222353500,177.24,0.0,177.24,177.24
2016-01-05,2016,1,5,Tuesday,01,2016-01,201.4,201.9,200.05,201.36,110845800,177.54,0.001691456821533377,177.39,177.39
2016-01-06,2016,1,6,Wednesday,01,2016-01,198.34,200.06,197.6,198.82,152112600,175.3,-0.012614440573582741,176.69333333333336,176.69333333333336
2016-01-07,2016,1,7,Thursday,01,2016-01,195.33,197.44,193.59,194.05,213436100,171.09,-0.023991696601449064,175.29250000000002,175.29250000000002
2016-01-08,2016,1,8,Friday,01,2016-01,195.19,195.85,191.58,191.92,209817200,169.21,-0.010976408503084567,174.076,174.076
2016-01-11,2016,1,11,Monday,02,2016-02,193.01,193.41,189.82,192.11,187941300,169.38,0.0009900258881985202,173.29333333333332,173.29333333333332
2016-01-12,2016,1,12,Tuesday,02,2016-02,193.82,194.55,191.14,193.66,172330500,170.75,0.008068491506936448,172.93,172.93
2016-01-13,2016,1,13,Wednesday,02,2016-02,194.45,194.86,188.38,188.83,221168900,166.49,-0.02494076711909121,172.125,172.125
2016-01-14,2016,1,14,Thursday,02,2016-02,189.55,193.26,187.66,191.93,240795600,169.22,0.01641682541992706,171.8022222222222,171.8022222222222
2016-01-15,2016,1,15,Friday,02,2016-02,186.77,188.76,185.52,187.81,324846400,165.59,-0.021466094304811945,171.18099999999998,171.18099999999998
2016-01-19,2016,1,19,Tuesday,03,2016-03,189.96,190.11,186.2,188.06,195244400,165.81,0.001330891537914658,170.6927272727273,170.6927272727273
2016-01-20,2016,1,20,Wednesday,03,2016-03,185.03,187.5,181.02,185.65,286547800,163.69,-0.01281490281153197,170.10916666666665,170.10916666666665
2016-01-21,2016,1,21,Thursday,03,2016-03,186.21,188.87,184.64,186.69,195772900,164.6,0.005601962019752715,169.6853846153846,169.6853846153846
2016-01-22,2016,1,22,Friday,03,2016-03,189.78,190.76,188.88,190.52,168319600,167.98,0.02051549552176901,169.5635714285714,169.5635714285714
2016-01-25,2016,1,25,Monday,04,2016-04,189.92,190.15,187.41,187.64,130371700,165.44,-0.015116749310273736,168.72071428571425,169.28866666666667
2016-01-26,2016,1,26,Tuesday,04,2016-04,188.42,190.53,188.02,190.2,141036800,167.7,0.013643138448484082,168.01785714285714,169.189375
2016-01-27,2016,1,27,Wednesday,04,2016-04,189.58,191.56,187.06,188.13,185681700,165.87,-0.010883127667200232,167.34428571428572,168.99411764705883
2016-01-28,2016,1,28,Thursday,04,2016-04,189.96,190.2,187.16,189.11,143798800,166.74,0.005209272888424543,167.0335714285714,168.86888888888888
2016-01-29,2016,1,29,Friday,04,2016-04,190.02,193.88,189.88,193.72,210529300,170.8,0.024376963155299025,167.14714285714285,168.97052631578947
2016-02-01,2016,2,1,Monday,05,2016-05,192.53,194.58,191.84,193.65,136061600,170.74,-0.00036083067348391396,167.2442857142857,169.059
2016-02-02,2016,2,2,Tuesday,05,2016-05,191.96,191.97,189.54,190.16,182564900,167.66,-0.01802257583106137,167.02357142857142,168.99238095238096
2016-02-03,2016,2,3,Wednesday,05,2016-05,191.41,191.78,187.1,191.3,205054900,168.67,0.005994951543113913,167.17928571428573,168.9777272727273
2016-02-04,2016,2,4,Thursday,05,2016-05,190.71,192.75,189.96,191.6,139531800,168.93,0.0015682412466173634,167.1585714285714,168.97565217391303
2016-02-05,2016,2,5,Friday,05,2016-05,190.99,191.67,187.2,187.95,180788300,165.71,-0.019049926208904444,167.16714285714286,168.83958333333334
2016-02-08,2016,2,8,Monday,06,2016-06,185.77,186.12,182.8,185.42,191526700,163.48,-0.013461059472579473,167.0007142857143,168.6252
2016-02-09,2016,2,9,Tuesday,06,2016-06,183.36,186.94,183.2,185.43,184513100,163.49,5.385464379625837e-05,166.98642857142858,168.4276923076923
2016-02-10,2016,2,10,Wednesday,06,2016-06,186.41,188.34,185.12,185.27,148214100,163.35,-0.0008627478650163889,166.89714285714288,168.23962962962963
2016-02-11,2016,2,11,Thursday,06,2016-06,182.34,184.1,181.09,182.86,219058900,161.23,-0.013008252503092343,166.415,167.9892857142857
2016-02-12,2016,2,12,Friday,06,2016-06,184.96,186.65,183.96,186.63,127632400,164.55,0.020617162434578562,166.35142857142858,167.8706896551724
2016-02-16,2016,2,16,Tuesday,07,2016-07,188.77,189.81,187.63,189.78,120250700,167.33,0.016878149300306955,166.325,167.85266666666666
2016-02-17,2016,2,17,Wednesday,07,2016-07,191.16,193.32,191.01,192.88,136009500,170.06,0.016334736342184852,166.6242857142857,167.92387096774195
2016-02-18,2016,2,18,Thursday,07,2016-07,193.2,193.27,191.72,192.09,102343000,169.36,-0.004095977041712162,166.8114285714286,167.96875
2016-02-19,2016,2,19,Friday,07,2016-07,191.17,192.18,190.45,192.0,114793000,169.28,-0.0004684924417753811,166.70285714285714,168.00848484848484
2016-02-22,2016,2,22,Monday,08,2016-08,193.87,194.95,193.79,194.78,103640300,171.74,0.014479325833460122,166.77428571428572,168.11823529411765
