name,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Jesus He Knows Me,245240,73,0.474,0.962,7,-4.716,1,0.0638,4.33e-05,0.000308,0.113,0.253,94.991,4,0
BANSHEE,214880,40,0.544,0.94,10,-6.158,0,0.0702,0.00432,2.22e-05,0.0399,0.566,140.076,4,0
The Wolf You Feed (feat. Alissa White-Gluz),234000,59,0.352,0.973,7,-3.25,1,0.119,1.07e-05,0.747,0.499,0.238,200.094,4,0
Lux Æterna,205679,63,0.386,0.996,11,-2.96,0,0.0754,1.15e-05,0.000836,0.116,0.188,130.573,4,0
Delivering The Goods,267012,57,0.241,0.949,7,-3.278,0,0.15,0.00123,0.0056,0.0997,0.416,158.744,4,0
Nobody,353946,73,0.411,0.702,7,-7.085,0,0.04,0.000942,5.2e-06,0.298,0.214,74.965,4,0
Meet Your Maker,237300,63,0.489,0.968,1,-4.41,1,0.108,4.66e-05,0.00221,0.0904,0.184,95.065,4,0
Obsolete,265750,63,0.407,0.95,7,-6.998,1,0.193,0.000103,0.191,0.516,0.246,191.741,4,0
Fall Of Man (feat. Matthew K. Heafy),218482,53,0.418,0.911,7,-6.131,0,0.0655,1.37e-05,0.0,0.0815,0.344,145.019,4,0
Chop Suey!,210240,85,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,4,0
Break Stuff,166706,82,0.432,0.884,8,-6.659,1,0.13,0.0127,0.000527,0.166,0.624,108.948,4,0
No Prayer At Midnight,221000,57,0.343,0.962,5,-6.842,1,0.0926,0.00185,0.0,0.0892,0.131,173.004,4,0
A Thousand Shades (feat. Jeff Beck),266427,55,0.371,0.652,6,-3.838,0,0.0312,0.00107,2.48e-06,0.601,0.204,81.044,4,0
Do Or Die,321440,41,0.553,0.979,7,-5.816,1,0.0713,3.52e-05,0.00712,0.249,0.325,114.994,4,0
My Own Summer (Shove It),214760,79,0.443,0.781,1,-4.277,1,0.0377,1.33e-05,0.205,0.166,0.372,71.841,4,0
Popular Monster,220537,79,0.461,0.897,3,-3.982,0,0.092,0.00821,0.0,0.0965,0.358,165.107,4,0
Hail to the King,305906,78,0.58,0.916,3,-4.358,0,0.0387,0.000297,0.0259,0.126,0.683,118.004,4,0
ObZen - 15th Anniversary 2023 Remastered Edition,264386,49,0.475,0.995,5,-4.605,1,0.0572,3.82e-06,0.9,0.504,0.345,113.371,4,0
Crazy Train,293183,79,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,4,0
Freak On a Leash,255733,78,0.353,0.898,2,-5.877,1,0.052,2.23e-05,0.105,0.39,0.525,103.293,4,0
Ace of Spades,166360,76,0.342,0.91,4,-7.748,1,0.0758,4.02e-05,0.000121,0.0823,0.547,140.452,4,0
Krøterveg Te Helvete - Single Version,254691,46,0.142,0.975,2,-4.741,1,0.102,1.15e-05,0.00203,0.36,0.428,156.223,4,0
Walk,315120,76,0.43,0.704,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242,4,0
Wait and Bleed,147840,76,0.382,0.996,7,-4.119,1,0.104,0.00208,0.0,0.417,0.327,93.345,4,0
Master of Puppets (Remastered),515386,75,0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,4,0
Paranoid - 2012 - Remaster,168405,75,0.412,0.658,4,-12.051,0,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,4,0
Breaking the Law,153840,75,0.362,0.961,2,-5.664,1,0.0857,0.024,9.35e-06,0.159,0.491,164.019,4,0
I Wanna Rock,179760,74,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244,4,0
Dicke Titten,218593,74,0.63,0.823,6,-4.857,1,0.0496,0.0205,0.00458,0.0377,0.565,117.048,4,0
Cowboys from Hell,243533,75,0.415,0.908,2,-9.701,1,0.0765,0.00437,0.0345,0.082,0.437,114.816,4,0
Cum on Feel the Noize,290960,72,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085,4,0
School's Out,210106,71,0.294,0.745,5,-9.138,1,0.0461,0.05,0.125,0.676,0.347,134.364,4,0
To Hell and Back,206546,71,0.536,0.849,0,-4.702,1,0.0616,0.00318,0.00197,0.104,0.305,127.002,4,0
Bad Company,262440,71,0.558,0.886,11,-4.196,0,0.0482,0.000595,9.91e-05,0.0904,0.171,114.041,4,0
Nothin' But A Good Time - Remastered 2006,224866,71,0.576,0.974,1,-2.785,1,0.0828,0.0202,0.0,0.348,0.531,129.088,4,0
My Curse,244773,70,0.197,0.956,10,-2.908,0,0.0663,7.61e-05,0.00992,0.261,0.209,177.018,3,0
Shout At The Devil,194986,70,0.5,0.946,5,-5.428,1,0.072,0.0221,4.21e-05,0.068,0.45,94.544,4,0
